iter	Logloss
0	0.6872976652
1	0.6819730495
2	0.676360545
3	0.6719198922
4	0.667432613
5	0.662824078
6	0.6581840047
7	0.6535023321
8	0.6492215779
9	0.6447400112
10	0.6401778299
11	0.6356906597
12	0.6312396541
13	0.6274241507
14	0.6248209779
15	0.6212176652
16	0.6174403432
17	0.6137687223
18	0.6103579137
19	0.6068131058
20	0.6033449728
21	0.5997650724
22	0.5972759689
23	0.5945550025
24	0.5917199924
25	0.5893431355
26	0.5869618773
27	0.5841027365
28	0.5817078823
29	0.5789298022
30	0.5765552076
31	0.5737634864
32	0.5712633048
33	0.5688594605
34	0.5665691859
35	0.5644879395
36	0.5621688627
37	0.5601628667
38	0.5580105431
39	0.5560177628
40	0.5542100621
41	0.5526280492
42	0.5512516102
43	0.549648577
44	0.5480730798
45	0.5466892205
46	0.5450887357
47	0.5436366594
48	0.541741466
49	0.5402100779
50	0.5387793478
51	0.5373896173
52	0.5362654338
53	0.5349604255
54	0.5339948149
55	0.5327594615
56	0.5314497839
57	0.53019109
58	0.5289195511
59	0.5275625093
60	0.5265148382
61	0.5253701455
62	0.5243617686
63	0.5232753257
64	0.5224123061
65	0.5210739092
66	0.5201318436
67	0.5189270739
68	0.5177885055
69	0.5169693651
70	0.516206302
71	0.5151367293
72	0.5143740006
73	0.5134491802
74	0.5127309312
75	0.5119733967
76	0.5113089939
77	0.5101889599
78	0.5093813068
79	0.5086744794
80	0.5080650983
81	0.5072378811
82	0.506370342
83	0.5056516697
84	0.5048139544
85	0.503953936
86	0.5032644009
87	0.5025011259
88	0.5017868624
89	0.5009967219
90	0.5002243781
91	0.4994621918
92	0.4990769397
93	0.4985945665
94	0.4982555064
95	0.4977090453
96	0.4971973165
97	0.4966118945
98	0.496393675
99	0.495826687
100	0.49537156
101	0.4949144684
102	0.4944290288
103	0.4939177576
104	0.4935286742
105	0.4930578776
106	0.4925493562
107	0.4921038187
108	0.4916655734
109	0.4911715018
110	0.4909181906
111	0.4902670089
112	0.4899684667
113	0.4894297847
114	0.4891099887
115	0.4886864739
116	0.4882663264
117	0.487821217
118	0.487446396
119	0.486840363
120	0.4864907561
121	0.4860478384
122	0.4855746224
123	0.4851992172
124	0.4848305497
125	0.4843778057
126	0.48409877
127	0.4837665656
128	0.4834631375
129	0.4831323068
130	0.4828773102
131	0.4824520528
132	0.482055576
133	0.4817783527
134	0.4812558177
135	0.4810135274
136	0.4806963163
137	0.4805129795
138	0.4801018377
139	0.4799267418
140	0.4795731812
141	0.479280329
142	0.4788525046
143	0.4786241087
144	0.4784104949
145	0.4780288065
146	0.4774174866
147	0.4771738817
148	0.4768666582
149	0.4763915881
150	0.4761351137
151	0.4759575031
152	0.4757186163
153	0.4755369413
154	0.4753028628
155	0.4749454102
156	0.4746620528
157	0.4740169827
158	0.4736409456
159	0.4733645717
160	0.4730068693
161	0.4723783659
162	0.4722111399
163	0.4718895431
164	0.4715753896
165	0.4712548811
166	0.4709855587
167	0.4704469763
168	0.4701423347
169	0.4698483408
170	0.4695444503
171	0.4692907803
172	0.4691142507
173	0.4689786489
174	0.4686977764
175	0.4683205556
176	0.4678447822
177	0.4676582817
178	0.4674671704
179	0.4672220482
180	0.4667868053
181	0.466479445
182	0.4661058598
183	0.4658107302
184	0.4653765023
185	0.4651868159
186	0.4649413194
187	0.4645503383
188	0.4641951462
189	0.4640741576
190	0.4637035823
191	0.4635592099
192	0.4633623787
193	0.4630312564
194	0.462654098
195	0.4623409681
196	0.4621165292
197	0.461801348
198	0.4616699932
199	0.4614974946
200	0.4612482229
201	0.4611074971
202	0.4608104549
203	0.4605287277
204	0.4603935466
205	0.460083601
206	0.4598338108
207	0.4596147228
208	0.459419749
209	0.4592286934
210	0.4591131794
211	0.4589034335
212	0.4586716765
213	0.4584377214
214	0.4581570539
215	0.4577182303
216	0.4573929502
217	0.45721671
218	0.4570994483
219	0.4569239567
220	0.4567866196
221	0.4566064628
222	0.4563027219
223	0.4560589203
224	0.4558919807
225	0.4554821203
226	0.4552355197
227	0.455076962
228	0.45474768
229	0.454612318
230	0.4545364171
231	0.4544008965
232	0.4542081202
233	0.4540527677
234	0.453856852
235	0.4537092746
236	0.4535762063
237	0.4533452009
238	0.4532655278
239	0.4531311945
240	0.4528641711
241	0.45252797
242	0.4524314664
243	0.4522145339
244	0.4518047295
245	0.4515599653
246	0.4512646651
247	0.451078519
248	0.4510045616
249	0.4507602903
250	0.4504480265
251	0.4502209176
252	0.4499672954
253	0.4498223156
254	0.4495960863
255	0.4494030171
256	0.4489979346
257	0.4487188228
258	0.4485589574
259	0.4484558943
260	0.4482236658
261	0.4480504663
262	0.4479384766
263	0.4476951306
264	0.4475198365
265	0.4473527591
266	0.4471157835
267	0.4468080199
268	0.446687919
269	0.4464339147
270	0.4462894982
271	0.4461898895
272	0.446064532
273	0.4457180582
274	0.4452678149
275	0.4451616357
276	0.4450016879
277	0.4448379921
278	0.4446322726
279	0.4444527544
280	0.4441388246
281	0.4439048915
282	0.4435154978
283	0.4432612268
284	0.4431107942
285	0.442902085
286	0.442738565
287	0.4425632862
288	0.4421612243
289	0.4420164899
290	0.4417344112
291	0.4415241018
292	0.4412808718
293	0.4410309824
294	0.4406280951
295	0.4403229453
296	0.4402134319
297	0.4399072617
298	0.4395913809
299	0.4394182474
300	0.4391118506
301	0.4389733859
302	0.4388841606
303	0.4386048701
304	0.4383896724
305	0.4382399855
306	0.4380168719
307	0.4377516852
308	0.4375123041
309	0.4373446814
310	0.4372216929
311	0.4368938242
312	0.4366651708
313	0.4365694252
314	0.4364804968
315	0.4362573413
316	0.4361240679
317	0.4359788698
318	0.4358256907
319	0.4357085676
320	0.4354880326
321	0.435341269
322	0.4349623633
323	0.4347857409
324	0.4345870743
325	0.4344490187
326	0.4342493239
327	0.4341999312
328	0.4340779579
329	0.4339058562
330	0.4337216411
331	0.4335594906
332	0.4334533771
333	0.4333145552
334	0.4331101403
335	0.4329926875
336	0.4327735237
337	0.4326156474
338	0.4324228714
339	0.432126309
340	0.4319843208
341	0.4318562426
342	0.4316134858
343	0.4314747228
344	0.4313163699
345	0.4309763934
346	0.4308271485
347	0.4306418819
348	0.4303955035
349	0.4301037288
350	0.4299218525
351	0.4297649234
352	0.4295843587
353	0.4293794214
354	0.4292971473
355	0.4290431677
356	0.4290157762
357	0.4288023975
358	0.4286686912
359	0.4285001341
360	0.428275716
361	0.4280863206
362	0.4280308496
363	0.4278739539
364	0.427711927
365	0.4275731363
366	0.4275269031
367	0.4273863132
368	0.4272720628
369	0.4270950647
370	0.4269986267
371	0.4268416963
372	0.4266435982
373	0.4264602779
374	0.4262364793
375	0.4260133582
376	0.4259184561
377	0.4255576
378	0.4253622316
379	0.4252608837
380	0.4250254135
381	0.4249562042
382	0.4247937583
383	0.4246670436
384	0.4245587634
385	0.4241912656
386	0.4241099756
387	0.4240127912
388	0.4238505271
389	0.4236758038
390	0.4234830973
391	0.4231795672
392	0.4227284466
393	0.4226286527
394	0.4224898816
395	0.4221120756
396	0.4220009537
397	0.4217992907
398	0.4216688522
399	0.4214842362
400	0.4214813125
401	0.4211984824
402	0.4209207334
403	0.420762787
404	0.420603656
405	0.4203771699
406	0.4202563572
407	0.4200852856
408	0.4198955404
409	0.4197736925
410	0.4196072378
411	0.4192293581
412	0.4191356302
413	0.4189927087
414	0.4188758201
415	0.4186801544
416	0.4184357362
417	0.4183296659
418	0.4182052424
419	0.4179821725
420	0.4179417676
421	0.4177231642
422	0.4173768438
423	0.4172012124
