iter	Passed	Remaining
0	2	2657
1	5	2658
2	8	2785
3	11	2859
4	14	2867
5	16	2806
6	19	2797
7	22	2761
8	24	2717
9	27	2686
10	30	2738
11	33	2771
12	36	2798
13	39	2802
14	42	2794
15	45	2814
16	48	2807
17	51	2826
18	54	2836
19	57	2838
20	60	2821
21	63	2833
22	66	2840
23	70	2863
24	73	2873
25	76	2860
26	79	2854
27	81	2842
28	84	2844
29	87	2840
30	90	2828
31	93	2828
32	97	2847
33	99	2835
34	102	2839
35	106	2841
36	108	2830
37	111	2830
38	115	2835
39	118	2836
40	121	2847
41	125	2856
42	128	2856
43	131	2849
44	133	2838
45	136	2831
46	140	2841
47	142	2835
48	145	2830
49	148	2817
50	151	2811
51	154	2808
52	156	2803
53	159	2801
54	163	2811
55	166	2802
56	169	2796
57	172	2794
58	175	2794
59	178	2793
60	181	2794
61	184	2792
62	187	2795
63	190	2788
64	193	2785
65	196	2782
66	199	2772
67	202	2770
68	205	2769
69	208	2767
70	211	2761
71	213	2755
72	216	2749
73	219	2745
74	222	2745
75	225	2742
76	228	2738
77	231	2736
78	234	2732
79	237	2728
80	240	2724
81	242	2719
82	245	2716
83	248	2708
84	250	2701
85	253	2695
86	256	2693
87	259	2690
88	262	2683
89	265	2680
90	268	2678
91	270	2671
92	273	2668
93	276	2667
94	279	2663
95	282	2659
96	285	2653
97	288	2653
98	291	2653
99	294	2651
100	297	2648
101	300	2645
102	303	2640
103	306	2638
104	309	2636
105	312	2632
106	314	2627
107	317	2625
108	320	2619
109	324	2623
110	328	2627
111	331	2625
112	334	2623
113	336	2618
114	339	2614
115	342	2608
116	345	2605
117	349	2611
118	352	2608
119	355	2608
120	359	2610
121	362	2606
122	365	2604
123	368	2602
124	371	2600
125	374	2596
126	377	2596
127	380	2591
128	383	2588
129	386	2587
130	389	2585
131	393	2584
132	396	2587
133	400	2587
134	403	2583
135	406	2579
136	409	2578
137	411	2571
138	415	2571
139	418	2571
140	421	2569
141	424	2567
142	426	2558
143	430	2556
144	432	2552
145	435	2549
146	438	2546
147	441	2544
148	444	2540
149	447	2538
150	451	2539
151	454	2535
152	457	2533
153	460	2530
154	464	2530
155	467	2527
156	470	2525
157	473	2521
158	475	2517
159	478	2511
160	480	2506
161	483	2498
162	486	2500
163	489	2497
164	492	2493
165	495	2489
166	498	2485
167	500	2481
168	503	2476
169	506	2472
170	509	2470
171	512	2467
172	515	2465
173	518	2462
174	521	2460
175	525	2458
176	528	2455
177	531	2453
178	534	2450
179	537	2447
180	540	2446
181	543	2444
182	546	2441
183	550	2439
184	552	2434
185	555	2431
186	558	2426
187	560	2422
188	563	2419
189	566	2416
190	569	2413
191	573	2411
