iter	Logloss
0	0.6698473854
1	0.6443776123
2	0.6233551194
3	0.6030554431
4	0.5847729655
5	0.5661168343
6	0.5478543536
7	0.5338804529
8	0.519454935
9	0.5045095475
10	0.4899774741
11	0.478865002
12	0.4685566781
13	0.4582683616
14	0.4490001471
15	0.440192993
16	0.4307851082
17	0.4226742497
18	0.4170932353
19	0.4100696155
20	0.4035898746
21	0.3984972347
22	0.3923275671
23	0.3853310546
24	0.3811714092
25	0.3759237649
26	0.3712978883
27	0.3658707276
28	0.3610127312
29	0.356814503
30	0.3517663258
31	0.347562505
32	0.3435496521
33	0.3400644338
34	0.3358963636
35	0.3332274159
36	0.3291112369
37	0.3263852813
38	0.3229356501
39	0.3193684676
40	0.3160932417
41	0.3124920557
42	0.3096806706
43	0.3071515991
44	0.3043660087
45	0.3015596385
46	0.2978670742
47	0.2955516764
48	0.2933403957
49	0.290446735
50	0.2890497961
51	0.2867024488
52	0.2843291308
53	0.2823614526
54	0.2803011234
55	0.2776154509
56	0.2759365846
57	0.2741331105
58	0.2717261969
59	0.2696350067
60	0.2679926992
61	0.2656586452
62	0.2637555326
63	0.2620755767
64	0.2599987592
65	0.2585714203
66	0.2566864602
67	0.2557517105
68	0.2533675808
69	0.2518092325
70	0.2501580486
71	0.2488045557
72	0.2469739106
73	0.2455567129
74	0.2441457921
75	0.2425958433
76	0.2415916555
77	0.2402778134
78	0.2396232586
79	0.23843786
80	0.2370655062
81	0.2360999335
82	0.2350295221
83	0.2335554432
84	0.2323944676
85	0.2311600676
86	0.2299440572
87	0.2285132176
88	0.2272895182
89	0.2259985419
90	0.2250943477
91	0.2245475723
92	0.2235719597
93	0.222370859
94	0.2215640667
95	0.22006515
96	0.219372426
97	0.2182848211
98	0.2174545055
99	0.216632126
100	0.2153642368
101	0.2145871357
102	0.213142735
103	0.2123622054
104	0.2110737234
105	0.210145475
106	0.20924127
107	0.2086788047
108	0.2074029284
109	0.2064246268
110	0.2059395784
111	0.205313732
112	0.2046819793
113	0.2038430228
114	0.2030816803
115	0.2022836948
116	0.2017099238
117	0.2012012921
118	0.2007353722
119	0.2001354843
120	0.1995472656
121	0.198808628
122	0.1976181786
123	0.196882476
124	0.1963864021
125	0.195802178
126	0.1950448365
127	0.1946119201
128	0.1940840953
129	0.1934790136
130	0.1930656644
131	0.1923459424
132	0.191789006
133	0.1912251599
134	0.1905274931
135	0.1900926393
136	0.1894586302
137	0.1887074537
138	0.1881934333
139	0.187693499
140	0.1871018854
141	0.1866570875
142	0.1861438749
143	0.185802086
144	0.1853058406
145	0.1848928102
146	0.1845523779
147	0.1840457486
148	0.1835132567
149	0.1829487363
150	0.1825120082
151	0.1820093275
152	0.1816325217
153	0.1813239682
154	0.1810508774
155	0.1805325103
156	0.1802087994
157	0.1797789513
158	0.1793111835
159	0.1789114787
160	0.1786530731
161	0.1782598954
162	0.1779930805
163	0.1775790471
164	0.1772606711
165	0.1769466594
166	0.1764745846
167	0.1761146888
168	0.1759778355
169	0.1755259715
170	0.1751492686
171	0.1748065083
172	0.1741169064
173	0.1737856502
174	0.1733716498
175	0.1730090472
176	0.1725520356
177	0.1722244811
178	0.1717771331
179	0.1714758091
180	0.1709981712
181	0.1705167463
182	0.1700945615
183	0.1697961551
184	0.1694842586
185	0.1692063923
186	0.1690020018
187	0.1687989887
188	0.1686149017
189	0.1683052804
190	0.1678592111
191	0.1674238923
192	0.1670707132
193	0.1666955452
194	0.1663952364
195	0.1660946957
196	0.1657831411
197	0.1651831799
198	0.1648495143
199	0.1647045447
200	0.1645223653
201	0.1643187588
202	0.164015705
203	0.1637458773
204	0.1634251476
205	0.1631309728
206	0.162684483
207	0.1623835772
208	0.1620672414
209	0.1616492866
210	0.1614752135
211	0.1612641786
212	0.1607971361
213	0.1605842768
214	0.1602173766
215	0.1600167206
216	0.1597462521
217	0.1594928749
218	0.1592495386
219	0.1589537408
220	0.1588507615
221	0.1585774671
222	0.158348872
223	0.158198806
224	0.1578451227
225	0.1576142606
226	0.1572572289
227	0.1568724645
228	0.1567034319
229	0.1565056003
230	0.1562704059
231	0.1560936905
232	0.1559066052
233	0.1556652234
234	0.1554203151
235	0.1552447983
236	0.1549916398
237	0.1548406964
238	0.1546598245
239	0.1545423436
240	0.1542595319
241	0.1540602012
242	0.1539117049
243	0.1536816316
244	0.1534186714
245	0.153321444
246	0.1531954246
247	0.1530509105
248	0.1528341678
249	0.1526609101
250	0.1525309533
251	0.152301322
252	0.1520368022
253	0.1519409784
254	0.1517953881
255	0.1515833138
256	0.1514720845
257	0.1513970559
258	0.1511026697
259	0.1509349029
260	0.1508131967
261	0.1504633219
262	0.1502306047
263	0.1500161605
264	0.1499501704
265	0.1498056184
266	0.1497154511
267	0.1495599373
268	0.1493358085
269	0.149084067
270	0.1488071632
271	0.1486724352
272	0.148536197
273	0.1484151987
274	0.1481417441
275	0.1480229978
276	0.1478750484
277	0.1476769871
