iter	Passed	Remaining
0	4	3997
1	6	3473
2	10	3373
3	13	3342
4	16	3295
5	19	3282
6	23	3274
7	26	3230
8	29	3229
9	32	3207
10	36	3286
11	39	3283
12	44	3350
13	47	3340
14	50	3314
15	53	3308
16	56	3285
17	60	3274
18	63	3261
19	66	3255
20	69	3237
21	72	3231
22	76	3229
23	79	3218
24	82	3204
25	85	3201
26	88	3192
27	92	3194
28	95	3183
29	98	3168
30	101	3157
31	104	3156
32	107	3146
33	110	3138
34	113	3134
35	116	3126
36	119	3117
37	122	3104
38	125	3099
39	128	3094
40	131	3082
41	134	3072
42	138	3075
43	141	3065
44	144	3063
45	147	3057
46	151	3063
47	154	3060
48	157	3050
49	161	3062
50	164	3053
51	167	3045
52	170	3038
53	173	3046
54	177	3042
55	180	3045
56	184	3045
57	187	3041
58	190	3041
59	194	3041
60	197	3037
61	200	3035
62	203	3033
63	206	3026
64	210	3028
65	213	3028
66	217	3022
67	220	3019
68	223	3014
69	226	3006
70	229	3001
71	232	2997
72	235	2992
73	238	2990
74	242	2989
75	245	2987
76	249	2990
77	252	2984
78	255	2978
79	258	2976
80	262	2977
81	265	2975
82	269	2972
83	272	2968
84	275	2967
85	278	2963
86	282	2959
87	285	2955
88	287	2947
89	291	2951
90	295	2955
91	299	2952
92	302	2947
93	305	2945
94	308	2943
95	312	2940
96	315	2936
97	318	2933
98	321	2929
99	325	2928
100	328	2924
101	331	2921
102	334	2915
103	338	2913
104	341	2908
105	344	2902
106	347	2900
107	350	2896
108	353	2890
109	356	2887
110	360	2884
111	363	2880
112	366	2875
113	369	2871
114	372	2866
115	375	2863
116	378	2859
117	382	2857
118	385	2855
119	388	2851
120	391	2846
121	394	2841
122	397	2836
123	400	2832
124	404	2828
125	407	2823
126	410	2819
127	413	2816
128	416	2811
129	419	2806
130	422	2803
131	425	2799
132	428	2794
133	431	2790
134	434	2785
135	437	2781
136	441	2779
137	445	2781
138	448	2778
139	451	2773
140	454	2769
141	457	2764
142	460	2762
143	464	2758
144	466	2752
145	469	2749
146	472	2743
147	476	2741
148	479	2736
149	482	2732
150	485	2728
151	488	2724
152	491	2721
153	495	2720
154	498	2716
155	501	2711
156	504	2707
157	507	2703
158	510	2698
159	513	2693
160	516	2689
161	518	2684
162	521	2680
163	524	2676
164	528	2673
