iter	Logloss
0	0.6821551817
1	0.6728349146
2	0.6650021359
3	0.6563891545
4	0.6484716651
5	0.6416553912
6	0.635086037
7	0.6279930417
8	0.6215847652
9	0.6154446822
10	0.6103483402
11	0.6056809294
12	0.6006758892
13	0.596411025
14	0.5925194273
15	0.5879600336
16	0.5841939424
17	0.5804967511
18	0.5767549818
19	0.5732513505
20	0.5694315822
21	0.5664461161
22	0.5637820492
23	0.5610164896
24	0.5583102412
25	0.5554777721
26	0.5526463527
27	0.5504390997
28	0.5475687504
29	0.5449774657
30	0.5427742583
31	0.5408253785
32	0.5388683346
33	0.5369142274
34	0.5350391412
35	0.5335489798
36	0.5319859065
37	0.5302890658
38	0.5285581548
39	0.5268799864
40	0.525388127
41	0.5236896504
42	0.5221992675
43	0.5207438265
44	0.519758274
45	0.5180810493
46	0.5166633626
47	0.5154285446
48	0.5141137851
49	0.5127368194
50	0.5115997434
51	0.510281329
52	0.5086046113
53	0.5075128654
54	0.5065025019
55	0.505490529
56	0.5043186959
57	0.5033305842
58	0.5021409246
59	0.5014262208
60	0.5004469651
61	0.4996694886
62	0.4989420224
63	0.4979398149
64	0.4971132676
65	0.4966944935
66	0.4956534209
67	0.4949780952
68	0.4940307697
69	0.4931003634
70	0.4921700973
71	0.4915248631
72	0.4905571116
73	0.4896442664
74	0.4890484352
75	0.488515047
76	0.4876821296
77	0.486753285
78	0.4857685398
79	0.485244502
80	0.4846272224
81	0.4839477716
82	0.4830039877
83	0.4824479236
84	0.4818902107
85	0.4812861659
86	0.4805446
87	0.4799658461
88	0.4791956033
89	0.4782501535
90	0.4776111781
91	0.4768322224
92	0.4761139957
93	0.4752576314
94	0.4745028288
95	0.4738799495
96	0.4732117171
97	0.472488303
98	0.4717176432
99	0.4710783123
100	0.4705213273
101	0.4699804298
102	0.469472316
103	0.4692924206
104	0.4689478299
105	0.4686730736
106	0.4681352571
107	0.4674176899
108	0.4668148782
109	0.466175655
110	0.4657146833
111	0.4650430714
112	0.4641153284
113	0.4634804315
114	0.4631600819
115	0.462635841
116	0.4623277213
117	0.46180036
118	0.4611954733
119	0.4605260404
120	0.4599134799
121	0.4595917774
122	0.4590160413
123	0.4585141779
124	0.4580500073
125	0.4574454078
126	0.4570806289
127	0.4567151688
128	0.456235132
129	0.4555207323
130	0.4550632677
131	0.4547409145
132	0.4542760303
133	0.453807144
134	0.4536362302
135	0.4532329533
136	0.4528665144
137	0.4524032249
138	0.4522292782
139	0.4520366227
140	0.451571098
141	0.45141088
142	0.4509117868
143	0.4504785287
144	0.4502395579
145	0.4499190069
146	0.4496510773
147	0.449123336
148	0.4487043896
149	0.4481471875
150	0.4477197861
151	0.4475132404
152	0.4468257891
153	0.4462378546
154	0.4458355994
155	0.4455121011
156	0.4452640676
157	0.4447826578
158	0.4445077284
159	0.444047642
160	0.4437568327
161	0.4433149018
162	0.4430048701
163	0.4425236577
164	0.4423043723
165	0.4420411323
166	0.4416263246
167	0.4413636853
168	0.4410882307
169	0.4407555714
170	0.4404234353
171	0.4399811961
172	0.4394862535
173	0.4389760483
174	0.4385624754
175	0.4382519513
176	0.4381005754
177	0.4378566233
178	0.4372387267
179	0.436903422
180	0.4364530062
181	0.43633241
182	0.4357685079
183	0.4348676652
184	0.4344751977
185	0.4341621017
186	0.4339247402
187	0.4333691281
188	0.4329853359
189	0.4324965025
190	0.4321322107
191	0.4319059459
192	0.4316344531
193	0.4311520101
194	0.4307042511
195	0.4301875569
196	0.4300572205
197	0.4296248848
198	0.4293842433
199	0.4291456821
200	0.4287170664
201	0.4283459298
202	0.4277980603
203	0.4276586959
204	0.4271865077
205	0.4267910311
206	0.4264758839
207	0.4262721683
208	0.4261122241
209	0.4256158623
210	0.4253169918
211	0.4248631513
212	0.4247111857
213	0.4242923256
214	0.4240631416
215	0.4236416191
216	0.4234220457
217	0.4229571001
218	0.4225434155
219	0.4223282218
220	0.4220683033
221	0.4216045903
222	0.4211836033
223	0.4207665971
224	0.4206360779
225	0.4204442695
226	0.4202190038
227	0.4199460952
228	0.4197620594
229	0.4196206434
230	0.4192879527
231	0.4191315179
232	0.418946109
233	0.4187363263
234	0.4185926899
235	0.4184775506
236	0.4181273386
237	0.4177795642
238	0.4175142476
239	0.4172123362
240	0.4171419882
241	0.416869258
242	0.4167638059
243	0.4164455952
244	0.4159843309
245	0.4156017199
246	0.415153658
247	0.4149827785
248	0.4149035429
249	0.4147307553
250	0.4146093596
251	0.4143291224
252	0.4140813967
253	0.4139000948
254	0.4136205765
255	0.4132822948
256	0.4130719455
257	0.4128127925
258	0.4125326377
259	0.4121624102
260	0.4119316141
261	0.4118286866
262	0.4115742789
263	0.4115006169
264	0.4110651203
265	0.4109491317
266	0.4106475269
267	0.4103841947
268	0.4102278481
269	0.409966043
270	0.4096490625
271	0.4094534262
272	0.4091836156
273	0.4089260131
274	0.4085977561
275	0.4084143993
276	0.4082104421
277	0.4079489722
278	0.4077878289
279	0.4073506681
280	0.4070191425
281	0.4067481691
282	0.4062236377
283	0.4059241827
284	0.4057755859
285	0.4053585662
286	0.405108473
287	0.4047308749
288	0.4045090044
289	0.4043407683
290	0.4040441505
291	0.4037179295
292	0.40344174
293	0.4031252073
294	0.4029667617
295	0.4024393717
296	0.4020668526
297	0.4019556366
298	0.401739921
299	0.4015518728
300	0.4014272011
301	0.4012380608
302	0.4008507367
303	0.400704069
304	0.4005486117
305	0.4003797605
306	0.4001204559
307	0.3997837615
308	0.3996005556
309	0.399415847
310	0.3992780406
311	0.3985998489
312	0.3980666781
313	0.3978820932
314	0.3977142236
315	0.3975483916
316	0.3973583516
317	0.3970467489
318	0.3969127265
319	0.3966711018
320	0.3963748456
321	0.3962038222
322	0.3959988083
323	0.3958482531
324	0.3955758734
325	0.3952553495
326	0.3950281405
327	0.394814315
328	0.3945545673
329	0.3943994651
330	0.3942915053
331	0.3939092881
332	0.3937551914
333	0.3935896957
334	0.3934699374
335	0.393268245
336	0.3929186623
337	0.3927150433
338	0.3925927787
339	0.3924015444
340	0.3922638882
341	0.3921760248
342	0.392021129
343	0.391683479
344	0.3913338575
345	0.3911023283
346	0.3909335395
347	0.390595864
348	0.3904405108
349	0.390020346
350	0.38986557
351	0.3896330158
352	0.3894055259
353	0.3892679114
354	0.3890414545
355	0.3887051092
356	0.3884134299
357	0.3882527198
358	0.3881952645
359	0.3880648871
360	0.3879353494
361	0.387780859
362	0.3876445312
363	0.3874065044
364	0.3872576124
365	0.3871434434
366	0.3868937029
367	0.3865662922
368	0.38637803
369	0.3861675964
370	0.3859157291
371	0.3857628687
372	0.3855400125
373	0.3854197692
374	0.3852642593
375	0.3849546727
376	0.3848511642
377	0.3847535824
378	0.3846111611
379	0.3842439956
380	0.3841750563
381	0.3838796929
382	0.3836199834
383	0.3835001195
384	0.3833284723
385	0.3831584665
386	0.3830375263
387	0.382907143
388	0.3827592415
389	0.3826185415
390	0.3824088669
391	0.3822355662
392	0.382081344
393	0.3819126869
394	0.3817758224
395	0.3816350066
396	0.3815452999
397	0.381457562
398	0.3812659917
399	0.3812032912
400	0.3809044719
401	0.380705572
402	0.380610306
403	0.3805563927
404	0.3804432379
405	0.380355091
406	0.3800570753
407	0.3799550329
408	0.3797789737
409	0.3795329006
410	0.3793747592
411	0.3792892667
412	0.3790458121
413	0.3789888198
414	0.3786232863
415	0.3784594985
416	0.3782159163
417	0.3781249978
418	0.3780411564
419	0.3779869138
420	0.3778068409
421	0.3776184001
422	0.3775278359
423	0.3773143393
424	0.3769776363
425	0.3768789954
426	0.3766228838
427	0.3764340491
428	0.3762485065
429	0.3759793255
430	0.3757489436
431	0.3756512117
432	0.3754630111
433	0.3752919189
434	0.3751509346
435	0.3749507623
436	0.3748658056
437	0.3746023336
438	0.3744737779
439	0.374066196
440	0.3738499749
441	0.3737208623
442	0.3736007311
443	0.373359614
444	0.3732042599
445	0.3729164369
446	0.372722538
447	0.3725750846
448	0.3724566424
449	0.3722531633
450	0.3720139477
451	0.3718759324
452	0.3716410483
453	0.3714908306
454	0.371236851
455	0.3710751989
456	0.3708287738
457	0.3706693084
458	0.3705094324
459	0.3704386035
460	0.3703024229
461	0.3701242319
462	0.36992733
463	0.3698453753
464	0.3696637823
465	0.3695145784
466	0.3694445438
467	0.3693847335
468	0.3692990603
469	0.3691058025
470	0.3689738103
471	0.3687767565
472	0.3685993017
473	0.3684351618
474	0.3682650795
475	0.3680299976
476	0.3676973915
477	0.3675197845
478	0.3672768611
479	0.3670794177
480	0.3669950927
481	0.3668597191
482	0.3668050735
483	0.3666209783
484	0.3664179273
485	0.366215472
486	0.3660247629
487	0.3659600668
488	0.3658530639
489	0.3657114476
490	0.3654049678
491	0.3652398294
492	0.3650962527
493	0.364797556
494	0.3646280572
495	0.3644512481
496	0.3643081325
497	0.3641759092
498	0.3637419197
499	0.3635885798
500	0.3633785991
501	0.3631938635
502	0.3629493123
503	0.3627918912
504	0.3627084112
505	0.3625249568
506	0.3623617855
507	0.3621899709
508	0.3620948837
