iter	Passed	Remaining
0	59	59808
1	62	31210
2	65	21710
3	67	16924
4	70	14098
5	73	12173
6	76	10796
7	78	9759
8	81	8931
9	83	8286
10	86	7799
11	89	7369
12	92	6989
13	95	6700
14	97	6433
15	100	6186
16	102	5950
17	105	5756
18	108	5583
19	110	5435
20	113	5307
21	116	5195
22	119	5086
23	122	4993
24	125	4910
25	128	4821
26	131	4735
27	134	4652
28	137	4603
29	140	4544
30	143	4482
31	146	4428
32	149	4376
33	152	4320
34	155	4283
35	158	4251
36	161	4212
37	164	4177
38	168	4150
39	171	4120
40	174	4086
41	177	4042
42	180	4011
43	183	3989
44	186	3960
45	189	3928
46	192	3905
47	195	3869
48	197	3832
49	200	3810
50	203	3789
51	207	3776
52	210	3755
53	213	3733
54	216	3715
55	219	3691
56	221	3668
57	224	3645
58	226	3617
59	229	3596
60	232	3580
61	235	3566
62	238	3552
63	241	3536
64	244	3523
65	248	3522
66	252	3513
67	255	3501
68	258	3487
69	261	3477
70	264	3464
71	268	3458
72	271	3450
73	274	3436
74	277	3421
75	279	3402
76	283	3394
77	285	3374
78	288	3358
79	290	3344
80	294	3336
81	296	3323
82	300	3319
83	303	3307
84	306	3303
85	309	3288
86	312	3276
87	315	3269
88	318	3259
89	321	3251
90	324	3244
91	327	3235
92	331	3230
93	334	3219
94	336	3207
95	340	3206
96	343	3199
97	347	3194
98	349	3184
99	352	3176
100	355	3164
101	359	3163
102	362	3156
103	365	3144
104	367	3136
105	370	3126
106	373	3116
107	376	3106
108	379	3101
109	381	3090
110	384	3082
111	388	3081
112	391	3074
113	394	3066
114	397	3059
115	400	3050
116	403	3044
117	407	3045
118	410	3041
119	414	3036
120	417	3033
121	421	3030
122	424	3024
123	427	3023
124	430	3014
125	433	3008
126	437	3010
127	440	3002
128	443	2996
129	447	2993
130	450	2988
131	453	2980
132	456	2977
133	459	2968
134	461	2958
135	464	2951
136	467	2946
137	471	2944
138	473	2935
139	476	2926
140	479	2918
141	481	2910
142	484	2903
143	487	2895
144	489	2885
145	491	2877
146	494	2872
147	497	2864
148	500	2859
149	503	2854
150	506	2846
151	508	2839
152	511	2831
153	513	2821
154	516	2813
155	518	2807
156	521	2802
157	524	2796
158	527	2790
159	530	2783
160	533	2777
161	536	2774
162	539	2769
163	542	2765
164	545	2759
165	548	2754
166	550	2748
167	553	2742
168	556	2738
169	560	2735
170	563	2731
171	566	2725
172	569	2721
173	571	2713
174	574	2707
175	578	2707
176	581	2701
177	584	2697
178	587	2696
179	590	2690
180	593	2686
181	595	2678
182	598	2670
183	600	2664
184	603	2659
185	606	2653
186	608	2647
187	612	2643
188	615	2639
189	618	2636
190	621	2632
191	624	2627
192	627	2622
193	629	2617
194	633	2615
195	636	2611
196	639	2604
197	642	2601
198	645	2598
199	648	2592
200	651	2590
201	654	2586
202	657	2581
203	660	2577
204	662	2570
205	665	2564
206	667	2559
207	670	2553
208	673	2548
209	676	2543
210	678	2538
211	682	2535
212	684	2529
213	687	2524
214	690	2520
215	693	2516
216	696	2511
217	701	2515
218	706	2520
219	734	2603
220	737	2600
221	743	2606
222	750	2615
223	756	2620
224	760	2620
225	766	2626
226	772	2631
227	777	2631
228	781	2630
229	785	2628
230	789	2629
231	796	2637
232	802	2640
233	1075	3520
234	1126	3666
235	1277	4134
236	1303	4197
237	1306	4183
238	1316	4192
239	1381	4375
240	1569	4943
241	1734	5434
242	1744	5433
243	1749	5420
244	1776	5474
245	1858	5696
246	1914	5837
247	1929	5850
248	1934	5833
249	1937	5812
250	1941	5794
251	1944	5773
252	2032	6000
253	2035	5978
254	2039	5958
255	2043	5940
256	2047	5918
257	2057	5916
258	2060	5895
259	2064	5877
260	2068	5856
261	2073	5839
262	2077	5822
263	2081	5801
264	2084	5780
265	2087	5759
266	2090	5738
267	2093	5718
268	2096	5697
269	2099	5676
270	2102	5654
271	2105	5633
272	2107	5613
273	2110	5592
274	2113	5572
275	2116	5552
276	2119	5531
277	2122	5511
278	2124	5490
279	2127	5470
280	2129	5449
281	2132	5430
282	2135	5410
283	2138	5390
284	2141	5371
285	2143	5352
286	2146	5333
287	2149	5314
288	2152	5295
289	2155	5277
290	2158	5258
291	2161	5240
292	2164	5222
293	2167	5204
294	2170	5186
295	2172	5167
296	2175	5149
297	2178	5131
298	2181	5113
299	2183	5095
300	2186	5077
301	2189	5060
302	2191	5042
303	2194	5024
304	2199	5012
305	2202	4995
306	2205	4978
307	2210	4965
308	2213	4949
309	2216	4933
310	2219	4917
311	2222	4901
312	2225	4884
313	2227	4867
314	2230	4850
315	2233	4833
316	2235	4817
317	2238	4801
318	2241	4785
319	2244	4768
320	2247	4753
